f,new_date,reading,hours_skipped,reading_diff,jump
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-07T19:00:00Z,305,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-07T23:00:00Z,306,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-08T03:00:00Z,307,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-08T07:00:00Z,308,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-08T11:00:00Z,309,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-08T15:00:00Z,310,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-08T19:00:00Z,311,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-08T23:00:00Z,312,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-09T03:00:00Z,313,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-09T07:00:00Z,314,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-09T11:00:00Z,315,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-09T15:00:00Z,316,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-09T19:00:00Z,317,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-09T23:00:00Z,318,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-10T03:00:00Z,319,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-10T07:00:00Z,320,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-10T11:00:00Z,321,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-10T15:00:00Z,322,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-10T19:00:00Z,323,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-10T23:00:00Z,324,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-11T03:00:00Z,325,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-11T07:00:00Z,326,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-11T11:00:00Z,327,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-11T15:00:00Z,328,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-11T19:00:00Z,329,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-11T23:00:00Z,330,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-12T03:00:00Z,331,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-12T07:00:00Z,332,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-12T11:00:00Z,333,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-12T15:00:00Z,334,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-12T19:00:00Z,335,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-12T23:00:00Z,336,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-13T03:00:00Z,337,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-13T07:00:00Z,338,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-13T11:00:00Z,339,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-13T15:00:00Z,340,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-13T19:00:00Z,341,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-13T23:00:00Z,342,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-14T03:00:00Z,343,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-14T07:00:00Z,344,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-14T11:00:00Z,345,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-14T15:00:00Z,346,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-14T19:00:00Z,347,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-14T23:00:00Z,348,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-15T03:00:00Z,349,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-15T07:00:00Z,350,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-15T11:00:00Z,351,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-15T15:00:00Z,352,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-15T19:00:00Z,353,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-15T23:00:00Z,354,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-16T03:00:00Z,355,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-16T07:00:00Z,356,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-16T11:00:00Z,357,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-16T15:00:00Z,358,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-16T19:00:00Z,359,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-16T23:00:00Z,360,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-17T03:00:00Z,361,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-17T07:00:00Z,362,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-17T11:00:00Z,363,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-17T15:00:00Z,364,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-17T19:00:00Z,365,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-17T23:00:00Z,366,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-18T03:00:00Z,367,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-18T07:00:00Z,368,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-18T11:00:00Z,369,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-18T15:00:00Z,370,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-18T19:00:00Z,371,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-18T23:00:00Z,372,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-19T03:00:00Z,373,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-19T07:00:00Z,374,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-19T11:00:00Z,375,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-19T15:00:00Z,376,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-19T19:00:00Z,377,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-19T23:00:00Z,378,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-20T03:00:00Z,379,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-20T07:00:00Z,380,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-20T11:00:00Z,381,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-20T15:00:00Z,382,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-20T19:00:00Z,383,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-20T23:00:00Z,384,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-21T03:00:00Z,385,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-21T07:00:00Z,386,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-21T11:00:00Z,387,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-21T15:00:00Z,388,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-21T19:00:00Z,389,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-21T23:00:00Z,390,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-22T03:00:00Z,391,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-22T07:00:00Z,392,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-22T11:00:00Z,393,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-22T15:00:00Z,394,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-22T19:00:00Z,395,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-22T23:00:00Z,396,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-23T03:00:00Z,397,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-23T07:00:00Z,398,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-23T11:00:00Z,399,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-23T15:00:00Z,400,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-23T19:00:00Z,401,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-23T23:00:00Z,402,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-24T03:00:00Z,403,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-24T07:00:00Z,404,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-24T11:00:00Z,405,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-24T15:00:00Z,406,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-24T19:00:00Z,407,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-24T23:00:00Z,408,2,1,1
